Epochs,Train losses,Validation losses,Train DICE,Validation DICE
1,0.5637867227196693,0.7076759934425354,0.5919085443019867,0.36854061484336853
2,0.39018142968416214,0.668376088142395,0.817532867193222,0.6501184701919556
3,0.3292083814740181,0.8113178610801697,0.8858163207769394,0.5893275737762451
4,0.2990540638566017,0.601326584815979,0.8870073556900024,0.7578258514404297
5,0.27732063829898834,0.7755204439163208,0.9039534479379654,0.762137770652771
6,0.34227021783590317,0.4450879395008087,0.8335277736186981,0.8236411809921265
7,0.2840783856809139,0.40530431270599365,0.8292016685009003,0.8188652992248535
8,0.2522211782634258,0.440393328666687,0.9129367768764496,0.8240730166435242
9,0.24835247173905373,0.3621198832988739,0.9144086539745331,0.838177502155304
10,0.2365959733724594,0.42783620953559875,0.9201294183731079,0.832939863204956
11,0.21681499108672142,0.36094409227371216,0.9366978257894516,0.8393210172653198
12,0.21215415745973587,0.35539355874061584,0.9364234805107117,0.8322791457176208
13,0.228277288377285,0.33397969603538513,0.8724089413881302,0.8377209901809692
14,0.27186283096671104,0.2825123965740204,0.8821563422679901,0.800715446472168
15,0.20666835084557533,0.2848869264125824,0.9116140902042389,0.8285136222839355
16,0.1888953261077404,0.2806265950202942,0.9404989778995514,0.8271241188049316
17,0.188912533223629,0.2945617437362671,0.9419595897197723,0.8337010145187378
18,0.18811773508787155,0.33838966488838196,0.9216705560684204,0.8407605886459351
19,0.17500686645507812,0.27712878584861755,0.9462980031967163,0.8209288716316223
20,0.16652261465787888,0.28431257605552673,0.9528513103723526,0.7569788694381714
21,0.16996268182992935,0.26731249690055847,0.940832331776619,0.8314589262008667
22,0.16979824379086494,0.2920142710208893,0.9319089949131012,0.844839334487915
23,0.15235326066613197,0.26514992117881775,0.9644332528114319,0.8231146931648254
24,0.1466277688741684,0.2630826234817505,0.9687801599502563,0.8419992923736572
25,0.14188463240861893,0.254506915807724,0.9644602537155151,0.8405337333679199
26,0.15133969485759735,0.3025994300842285,0.9499929845333099,0.6982054114341736
27,0.17059635184705257,0.2771749496459961,0.8662682622671127,0.8094320297241211
28,0.13668541610240936,0.31718119978904724,0.9597784876823425,0.8196036219596863
29,0.13596758246421814,0.27135878801345825,0.9624225944280624,0.8116173148155212
30,0.14838936366140842,0.503498375415802,0.939738318324089,0.8268629908561707
31,0.1364128775894642,0.7903708219528198,0.9368310570716858,0.8179700374603271
32,0.13658307120203972,0.47349801659584045,0.9425024092197418,0.8494376540184021
33,0.1335131675004959,0.28649598360061646,0.9388676136732101,0.8604955673217773
