Collection,lidar_body [m],rgb_body_left [px],rgb_body_right [px],rgbd_hand_color [px],rgbd_hand_depth [m]
001,0.0100,---,6.4914,5.7929,0.0069
002,0.0085,2.0503,---,2.9554,0.0092
004,0.0081,2.1866,---,3.8672,0.0079
005,0.0089,0.9057,---,1.0472,0.0067
009,0.0144,---,1.7863,2.1957,0.0094
010,0.0101,---,2.7446,2.6808,0.0072
013,0.0079,1.7748,---,2.1377,0.0060
015,0.0079,---,1.8282,1.4940,0.0062
016,0.0100,---,1.1929,1.3801,0.0054
020,0.0097,1.5351,---,2.6995,0.0081
022,0.0097,3.2419,---,2.7796,0.0075
026,0.0079,---,1.3040,1.6777,0.0067
028,0.0176,---,1.6950,1.7676,0.0102
029,0.0073,0.9098,---,---,0.0067
030,0.0196,3.5690,---,2.5433,0.0104
032,0.0078,1.0301,---,1.2872,0.0077
036,0.0081,1.4891,---,2.4363,0.0071
037,0.0076,---,0.6664,---,0.0069
039,0.0175,2.1478,---,5.7854,0.0113
040,0.0081,3.0397,---,3.4285,0.0082
044,0.0140,---,2.2961,1.8900,0.0082
045,0.0073,1.0262,---,---,0.0080
046,0.0078,1.8583,---,1.5858,0.0071
048,0.0076,---,0.8580,---,0.0075
049,0.0076,---,2.4441,2.3561,0.0072
050,0.0077,0.9397,---,---,0.0098
051,0.0310,3.8411,---,2.1468,0.0158
053,0.0093,---,0.8028,---,---
055,0.0078,---,0.7980,---,---
Averages,0.0106,1.9716,1.9160,2.5425,0.0081
