Collection #,RMS (pix),X err (pix),Y err (pix),X StDev (pix),Y StDev (pix)
003,5.1313,1.7606,2.8892,2.3867,3.0309
007,18.0482,16.5301,2.3397,6.5367,2.0713
011,5.1261,3.1821,1.8714,3.1249,1.6982
017,10.7280,8.5399,1.8077,5.9496,1.8694
018,14.4535,10.5694,2.0483,8.3089,4.8948
027,8.2226,6.4336,3.3522,3.4675,1.7203
035,2.9281,2.3262,0.9138,1.3177,0.7689
038,4.2421,2.5700,2.5389,1.7215,1.4073
041,9.2374,3.1069,4.2831,3.5409,6.6928
043,8.0067,6.0890,3.7545,3.0208,1.9519
057,6.7759,4.2830,3.2552,3.3345,2.4195
058,3.7434,2.6662,1.9769,1.0573,1.3705
059,4.5736,2.5151,1.7070,3.2307,1.1139
Averages,7.7859,5.4286,2.5183,3.6152,2.3854
